Name,Team,playerid
Anthony Rizzo,Cubs,3473
Jake Petricka,Blue Jays,10534
Jason Hursh,Braves,14914
Jose Ruiz,Padres,14552
Eric Hanhold,Mets,18332
Shae Simmons,Mariners,14200
Jake Esch,Padres,12756
Matt Koch,Diamondbacks,13420
Zack Weiss,Reds,15444
Tyler Pill,Mets,12751
Brandon Cumpton,Blue Jays,11366
Chris Gimenez,Twins,7324
Jake Barrett,Diamondbacks,13322
William Cuevas,Tigers,13331
Josh Lucas,Athletics,11686
Austin Adams,Nationals,13801
Jeremy Bleich,Athletics,9069
Carson Fulmer,White Sox,18311
Tommy Layne,Yankees,7501
Joey Krehbiel,Diamondbacks,13707
Aaron Brooks,Athletics,12272
Erick Aybar,Padres,4082
Hernan Perez,Brewers,5751
Jose Torres,Padres,14957
Jake Thompson,Phillies,14371
David Goforth,Brewers,12166
Cody Martin,Mariners,12182
Kendrys Morales,Blue Jays,8610
Zac Curtis,- - -,16684
Johnny Field,Rays,15048
Rob Scahill,White Sox,9286
Carter Capps,Padres,12803
Murphy Smith,Blue Jays,9812
Mike Zagurski,Brewers,9683
Tyler Kinley,- - -,18297
Cliff Pennington,Reds,3395
Taylor Jungmann,Brewers,13119
Josh Edgin,Mets,10796
Cory Spangenberg,Padres,12294
Jairo Labourt,Tigers,14996
Austin Brice,Reds,17237
Brock Stewart,Dodgers,16727
Luis Ortiz,Orioles,16942
Craig Breslow,- - -,4363
Trey Wingenter,Padres,17793
Marc Rzepczynski,Mariners,6612
Alex McRae,Pirates,16317
Zach Lee,Padres,11468
Damien Magnifico,Angels,13395
Arcenio Leon,Tigers,8846
Max Povse,Mariners,16165
Jason Gurka,Angels,8007
Miguel Montero,Cubs,3364
Nori Aoki,Astros,13075
Miguel Almonte,Royals,14139
Leonel Campos,Blue Jays,12277
Sam Howard,Rockies,16265
Daniel Corcino,Dodgers,9266
J.J. Hoover,Diamondbacks,9037
Wily Peralta,Brewers,7738
Jose Fernandez,Blue Jays,14733
Justin Haley,Twins,13572
Troy Scribner,Diamondbacks,15570
Stefan Crichton,Orioles,16058
Jairo Diaz,Rockies,12774
Jen-Ho Tseng,Cubs,15524
Ben Taylor,Indians,18114
Chad Qualls,Rockies,2170
Jayson Aquino,Orioles,13150
Chris Smith,Blue Jays,14449
Kyle McGowin,Nationals,15071
Jerry Vasto,- - -,17126
Bryan Holaday,Marlins,11287
Connor Sadzeck,Rangers,13483
Matt Hall,Tigers,18076
Diego Moreno,Rays,6238
Drew Butera,Royals,3411
Wei-Chung Wang,Brewers,14382
Rubby de la Rosa,Diamondbacks,3862
Rob Zastryzny,Cubs,15094
Austin Voth,Nationals,15047
Dan Altavilla,Mariners,16507
Jandel Gustave,Astros,14665
Lucas Harrell,Blue Jays,7541
Jace Peterson,Orioles,12325
Justin Hancock,Cubs,12316
Jose Ramirez,Braves,10171
Taylor Guerrieri,Blue Jays,13616
Casey Lawrence,Mariners,11121
Jake Jewell,Angels,16958
Ryan LaMarre,Twins,10700
Josh Ravin,Braves,2951
Jharel Cotton,Athletics,13654
Randy Rosario,Twins,14508
Andrew Romine,Tigers,1159
Dean Deetz,Astros,16687
Rob Brantly,White Sox,10655
Tyler White,Astros,15564
Glen Perkins,Twins,8041
Leonys Martin,Cubs,11846
Tommy La Stella,Cubs,12371
Carlos Gomez,Rays,4881
Luke Gregerson,Astros,4090
Andres Blanco,Phillies,1907
Victor Caratini,Cubs,14968
Jake Smolinski,Athletics,5408
Jackson Stephens,Reds,14420
Kyle Lloyd,Padres,15378
Pedro Florimon,Phillies,8385
Adrian Sampson,Rangers,13339
Jonathan Broxton,Cardinals,4759
Duane Underwood Jr.,Cubs,14677
Zach Neal,Dodgers,11294
Jean Machi,Mariners,3220
Keury Mella,Reds,15964
Justin Marks,Rays,10265
Jesus Reyes,Reds,19277
Tim Melville,- - -,9149
Tyler Wilson,Orioles,12691
Luis Santos,Blue Jays,15006
Seth Frankoff,Cubs,11346
Nick Burdi,Pirates,16074
Jedd Gyorko,Cardinals,10816
Carlos Ruiz,Mariners,2579
Jesmuel Valentin,Phillies,14548
Michael Kopech,White Sox,17282
Taylor Motter,Mariners,12399
Kazuhisa Makita,Padres,19757
Allen Webster,Cubs,3993
Scooter Gennett,Reds,10339
David Hess,Orioles,16130
Neil Ramirez,- - -,7677
Alexi Ogando,Indians,10261
Dean Kiekhefer,Athletics,10529
Ryan Garton,- - -,14016
Roman Quinn,Phillies,13546
Jon Edwards,Indians,1483
Ross Detwiler,Mariners,2859
Brandon Mann,Rangers,5172
Trevor Gott,Nationals,15046
Kyle Martin,Red Sox,14860
Ranger Suarez,Phillies,17277
Jeff Ferrell,Tigers,11506
Ronald Herrera,Yankees,15688
Jake Buchanan,Reds,10962
Deolis Guerra,Angels,8410
Vidal Nuno,Rays,9674
P.J. Conlon,Mets,18213
Merandy Gonzalez,Marlins,17313
Hunter Cervenka,Marlins,10510
Justin Miller,Nationals,8580
Nick Tropeano,Angels,12385
Kevin McGowan,Mets,15215
Justus Sheffield,Yankees,17285
Alejandro Chacin,Reds,13530
Jeremy Guthrie,Nationals,2072
Henderson Alvarez,Phillies,5669
Francisco Arcia,Angels,10286
Jalen Beeks,- - -,17192
Drew Gagnon,Mets,12545
Tayron Guerrero,Marlins,11691
Willians Astudillo,Twins,15608
Yacksel Rios,Phillies,15007
Jimmy Yacabonis,Orioles,15157
Miguel Castro,Orioles,15684
Jhan Marinez,- - -,5830
Jason Wheeler,Twins,13128
Wes Parsons,Braves,14764
Dovydas Neverauskas,Pirates,11604
Sam Moll,Athletics,14874
Sean Gilmartin,Mets,12781
Cesar Valdez,- - -,9013
Luke Farrell,- - -,15101
Tyler Webb,- - -,14974
Chris Volstad,White Sox,9901
Dietrich Enns,Twins,13932
Christian Bethancourt,Padres,10028
Daniel Gossett,Athletics,16164
Cionel Perez,Astros,19614
Brett Graves,Marlins,16218
Aaron Blair,Braves,14934
